,TSLA_predicted
0,771.0
1,781.0
2,766.0
3,759.0
4,769.0
5,764.0
6,776.0
7,781.0
8,782.0
9,799.0
10,808.0
11,801.0
12,807.0
13,797.0
14,794.0
15,808.0
16,821.0
17,825.0
18,824.0
19,845.0
20,868.0
21,888.0
22,898.0
23,901.0
24,880.0
25,867.0
26,883.0
27,907.0
28,928.0
29,935.0
30,916.0
31,912.0
32,921.0
33,906.0
34,901.0
35,922.0
36,934.0
37,942.0
38,917.0
39,900.0
40,885.0
41,873.0
42,881.0
43,878.0
44,885.0
45,869.0
46,862.0
47,880.0
48,892.0
49,901.0
50,891.0
51,903.0
52,892.0
53,899.0
54,893.0
55,903.0
56,894.0
57,905.0
58,905.0
59,886.0
60,877.0
61,888.0
62,901.0
63,914.0
64,923.0
65,913.0
66,930.0
67,947.0
68,945.0
69,962.0
70,965.0
71,953.0
72,946.0
73,963.0
74,969.0
75,947.0
76,945.0
77,956.0
78,943.0
79,950.0
80,932.0
81,905.0
82,887.0
83,885.0
84,908.0
85,929.0
86,946.0
87,957.0
88,954.0
89,961.0
90,938.0
91,927.0
92,938.0
93,927.0
94,912.0
95,896.0
96,887.0
97,899.0
98,896.0
99,918.0
100,925.0
101,920.0
102,939.0
103,951.0
104,951.0
105,925.0
106,907.0
107,897.0
108,890.0
109,896.0
110,887.0
111,888.0
112,910.0
113,921.0
114,905.0
115,894.0
116,908.0
117,928.0
118,938.0
119,928.0
120,946.0
121,949.0
122,935.0
123,928.0
124,938.0
125,933.0
126,949.0
127,941.0
128,955.0
129,957.0
130,935.0
131,928.0
132,945.0
133,963.0
134,972.0
135,961.0
136,956.0
137,970.0
138,974.0
139,957.0
140,955.0
141,976.0
142,986.0
143,975.0
144,966.0
145,983.0
146,1007.0
147,1033.0
148,1056.0
149,1065.0
150,1062.0
151,1079.0
152,1084.0
153,1060.0
154,1054.0
155,1072.0
156,1079.0
157,1050.0
158,1037.0
159,1062.0
160,1081.0
161,1106.0
162,1131.0
163,1159.0
164,1187.0
165,1203.0
166,1204.0
167,1181.0
168,1165.0
169,1168.0
170,1144.0
171,1131.0
172,1156.0
173,1167.0
174,1146.0
175,1124.0
176,1102.0
177,1089.0
178,1078.0
179,1072.0
180,1080.0
181,1068.0
182,1084.0
183,1109.0
184,1123.0
185,1128.0
186,1126.0
187,1155.0
188,1178.0
189,1206.0
190,1216.0
191,1191.0
192,1178.0
193,1197.0
194,1227.0
195,1248.0
196,1261.0
197,1255.0
198,1264.0
199,1254.0
200,1280.0
201,1305.0
202,1320.0
203,1330.0
204,1322.0
205,1341.0
206,1338.0
207,1349.0
208,1318.0
209,1299.0
210,1309.0
211,1302.0
212,1317.0
213,1337.0
214,1355.0
215,1342.0
216,1335.0
217,1344.0
218,1324.0
219,1332.0
220,1323.0
221,1339.0
222,1328.0
223,1349.0
224,1371.0
225,1387.0
226,1378.0
227,1390.0
228,1371.0
229,1357.0
230,1378.0
231,1395.0
232,1407.0
233,1379.0
234,1353.0
235,1326.0
236,1302.0
237,1280.0
238,1267.0
239,1260.0
240,1272.0
241,1263.0
242,1272.0
243,1253.0
244,1243.0
245,1259.0
246,1268.0
247,1245.0
248,1226.0
249,1204.0
250,1174.0
251,1148.0
252,1133.0
253,1155.0
254,1167.0
255,1146.0
256,1119.0
257,1101.0
258,1106.0
259,1102.0
260,1123.0
261,1151.0
262,1168.0
263,1173.0
264,1145.0
265,1125.0
266,1107.0
267,1097.0
268,1124.0
269,1136.0
270,1115.0
271,1095.0
272,1089.0
273,1112.0
274,1129.0
275,1147.0
276,1166.0
277,1177.0
278,1164.0
279,1179.0
280,1163.0
281,1151.0
282,1157.0
283,1144.0
284,1135.0
285,1163.0
286,1186.0
287,1199.0
288,1211.0
289,1218.0
290,1216.0
291,1239.0
292,1264.0
293,1270.0
294,1252.0
295,1251.0
